2025-06-11T18:11:09.737021Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-duckdb-to-target-bigquery name=tap-duckdb producer=True run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=tap-duckdb
2025-06-11T18:11:09.737109Z [info     ] /home/hanafi/ntu-sctp-dsai1f-project-team6/meltano-citibike/.meltano/extractors/tap-duckdb/venv/lib/python3.10/site-packages/singer_sdk/connectors/sql.py:513: SAWarning: Did not recognize type 'float8' of column 'start_lat' cmd_type=elb consumer=False job_name=dev:tap-duckdb-to-target-bigquery name=tap-duckdb producer=True run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=tap-duckdb
2025-06-11T18:11:09.737177Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-duckdb-to-target-bigquery name=tap-duckdb producer=True run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=tap-duckdb
2025-06-11T18:11:09.737269Z [info     ] /home/hanafi/ntu-sctp-dsai1f-project-team6/meltano-citibike/.meltano/extractors/tap-duckdb/venv/lib/python3.10/site-packages/singer_sdk/connectors/sql.py:513: SAWarning: Did not recognize type 'float8' of column 'start_lng' cmd_type=elb consumer=False job_name=dev:tap-duckdb-to-target-bigquery name=tap-duckdb producer=True run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=tap-duckdb
2025-06-11T18:11:09.737341Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-duckdb-to-target-bigquery name=tap-duckdb producer=True run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=tap-duckdb
2025-06-11T18:11:09.737411Z [info     ] /home/hanafi/ntu-sctp-dsai1f-project-team6/meltano-citibike/.meltano/extractors/tap-duckdb/venv/lib/python3.10/site-packages/singer_sdk/connectors/sql.py:513: SAWarning: Did not recognize type 'float8' of column 'end_lat' cmd_type=elb consumer=False job_name=dev:tap-duckdb-to-target-bigquery name=tap-duckdb producer=True run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=tap-duckdb
2025-06-11T18:11:09.737535Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-duckdb-to-target-bigquery name=tap-duckdb producer=True run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=tap-duckdb
2025-06-11T18:11:09.737630Z [info     ] /home/hanafi/ntu-sctp-dsai1f-project-team6/meltano-citibike/.meltano/extractors/tap-duckdb/venv/lib/python3.10/site-packages/singer_sdk/connectors/sql.py:513: SAWarning: Did not recognize type 'float8' of column 'end_lng' cmd_type=elb consumer=False job_name=dev:tap-duckdb-to-target-bigquery name=tap-duckdb producer=True run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=tap-duckdb
2025-06-11T18:11:09.737701Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-duckdb-to-target-bigquery name=tap-duckdb producer=True run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=tap-duckdb
2025-06-11T18:11:09.737788Z [info     ] /home/hanafi/ntu-sctp-dsai1f-project-team6/meltano-citibike/.meltano/extractors/tap-duckdb/venv/lib/python3.10/site-packages/singer_sdk/connectors/sql.py:513: SAWarning: Did not recognize type 'varchar' of column 'member_casual' cmd_type=elb consumer=False job_name=dev:tap-duckdb-to-target-bigquery name=tap-duckdb producer=True run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=tap-duckdb
2025-06-11T18:11:09.737882Z [info     ]   columns = inspector.get_columns(table_name, schema_name) cmd_type=elb consumer=False job_name=dev:tap-duckdb-to-target-bigquery name=tap-duckdb producer=True run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=tap-duckdb
2025-06-11T18:11:09.793965Z [info     ] 2025-06-12 02:11:09,793 Properties () were present in the 'main-JC-202505-citibike-tripdata' stream but not found in catalog schema. Ignoring. cmd_type=elb consumer=False job_name=dev:tap-duckdb-to-target-bigquery name=tap-duckdb producer=True run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=tap-duckdb
2025-06-11T18:11:16.069818Z [info     ] 2025-06-12 02:11:16,068 | INFO     | target-bigquery      | Setting up main-JC-202505-citibike-tripdata cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.083121Z [info     ] 2025-06-12 02:11:16,082 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.083549Z [info     ] 2025-06-12 02:11:16,083 | INFO     | target-bigquery      | Adding worker 7d5c38d8da8243a38acea342ed3e6b5d cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.098938Z [info     ] 2025-06-12 02:11:16,098 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.113552Z [info     ] 2025-06-12 02:11:16,113 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
